Defect models,projects' category,Tr version,Ts version,Iterations,Precision,Recall,F1 Score,ACC,MCC,AUC
MLMNB,ant,ant-1.6.csv,ant-1.7.csv,0,0.44,0.69,0.53,0.73,0.38,0.72
MLMNB,camel,camel-1.2.csv,camel-1.4.csv,0,0.32,0.53,0.4,0.73,0.25,0.65
MLMNB,ivy,ivy-1.4.csv,ivy-2.0.csv,0,0.39,0.45,0.42,0.86,0.34,0.68
MLMNB,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.48,0.68,0.56,0.74,0.39,0.72
MLMNB,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.77,0.62,0.69,0.81,0.56,0.76
MLMNB,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.68,0.49,0.57,0.57,0.17,0.58
MLMNB,poi,poi-2.5.csv,poi-3.0.csv,0,0.82,0.61,0.7,0.67,0.37,0.69
MLMNB,synapse,synapse-1.1.csv,synapse-1.2.csv,0,0.61,0.48,0.54,0.72,0.35,0.66
MLMNB,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.62,0.28,0.39,0.57,0.15,0.56
MLMNB,xerces,xerces-1.2.csv,xerces-1.3.csv,0,0.3,0.29,0.29,0.79,0.17,0.58
MNB,ant,ant-1.6.csv,ant-1.7.csv,0,0.48,0.66,0.55,0.76,0.41,0.73
MNB,camel,camel-1.2.csv,camel-1.4.csv,0,0.28,0.53,0.37,0.7,0.21,0.63
MNB,ivy,ivy-1.4.csv,ivy-2.0.csv,0,0.38,0.33,0.35,0.86,0.28,0.63
MNB,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.51,0.67,0.58,0.76,0.42,0.73
MNB,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.8,0.65,0.72,0.83,0.6,0.78
MNB,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.74,0.47,0.58,0.6,0.24,0.62
MNB,poi,poi-2.5.csv,poi-3.0.csv,0,0.78,0.6,0.68,0.64,0.29,0.65
MNB,synapse,synapse-1.1.csv,synapse-1.2.csv,0,0.59,0.37,0.46,0.7,0.28,0.62
MNB,xalan,xalan-2.4.csv,xalan-2.5.csv,0,0.66,0.26,0.37,0.58,0.17,0.57
MNB,xerces,xerces-1.2.csv,xerces-1.3.csv,0,0.29,0.35,0.31,0.77,0.18,0.6
LogisticRegression,ant,ant-1.6.csv,ant-1.7.csv,0,0.62,0.46,0.53,0.82,0.43,0.69
LogisticRegression,camel,camel-1.2.csv,camel-1.4.csv,0,0.34,0.29,0.31,0.79,0.19,0.59
LogisticRegression,ivy,ivy-1.4.csv,ivy-2.0.csv,0,0.5,0.03,0.05,0.89,0.09,0.51
LogisticRegression,jedit,jedit-3.2.csv,jedit-4.0.csv,0,0.49,0.59,0.53,0.75,0.37,0.69
LogisticRegression,log4j,log4j-1.0.csv,log4j-1.1.csv,0,0.81,0.57,0.67,0.81,0.55,0.75
LogisticRegression,lucene,lucene-2.0.csv,lucene-2.2.csv,0,0.73,0.5,0.59,0.6,0.24,0.62
LogisticRegression,poi,poi-2.5.csv,poi-3.0.csv,0,0.71,0.79,0.75,0.66,0.24,0.61
LogisticRegression,synapse,synapse-1.1.csv,synapse-1.2.csv,0,0.57,0.34,0.42,0.69,0.25,0.6
